"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000211895.3",60711.8129498265,-7.3167214916998,0.699848143235722,-10.4547273039423,1.39399202267462e-25,4.43791300338692e-21,NA,NA
"ENSG00000009790.10",1347.97228671104,-4.26265322197352,0.413000580378696,-10.3211797379677,5.65243107263048e-25,8.99753978141319e-21,"TRAF3IP3","80342"
"ENSG00000222037.5",797.392561914043,-9.79811691299135,0.960262643595701,-10.2035802166607,1.91095488244491e-24,1.71518018260679e-20,NA,NA
"ENSG00000132465.6",6764.17163437507,-6.42659130279387,0.630558472100153,-10.1919038235888,2.15501970424273e-24,1.71518018260679e-20,"JCHAIN","3512"
"ENSG00000159618.11",301.654375396709,-4.40144608402414,0.435088939425146,-10.1161985175708,4.68250420288578e-24,2.98144407606143e-20,"ADGRG5","221188"
"ENSG00000160856.16",942.398006090408,-6.28574840475848,0.641351813705826,-9.80078058630331,1.11718924146902e-22,5.24460088024494e-19,"FCRL3","115352"
"ENSG00000227507.2",763.947358106319,-5.85911291564549,0.598016414605914,-9.79757874958429,1.15316642045843e-22,5.24460088024494e-19,"LTB","4050"
"ENSG00000110777.7",2136.74171461572,-6.2594526535945,0.642040875490275,-9.74930552328878,1.85734490839685e-22,7.39130406296528e-19,"POU2AF1","5450"
"ENSG00000159753.9",1366.08976171406,-4.80737081527895,0.4951333133647,-9.7092453396243,2.75368310365128e-22,9.74069503198245e-19,"CARMIL2","146206"
"ENSG00000005844.13",2499.14323767316,-4.07424581728429,0.426475145650795,-9.55330189539425,1.25627154860614e-21,3.50639800438202e-18,"ITGAL","3683"
"ENSG00000089012.10",250.763463770573,-4.93966949387501,0.517263787150932,-9.54961398145133,1.30180436608365e-21,3.50639800438202e-18,"SIRPG","55423"
"ENSG00000245164.2",911.155808032163,-4.75907910081917,0.498434948072393,-9.54804457276532,1.32167282487072e-21,3.50639800438202e-18,"LINC00861","100130231"
"ENSG00000116748.15",61.2229572470335,-6.29667568739554,0.661297419918979,-9.52170006676724,1.7036874771634e-21,4.17219957869032e-18,"AMPD1","270"
"ENSG00000170476.11",1580.39352499008,-7.20126350103674,0.757843495742957,-9.50230956851709,2.05285866601591e-21,4.66820060652019e-18,"MZB1","51237"
"ENSG00000186265.5",183.163952957285,-5.18335305075487,0.546617075251031,-9.48260360943616,2.48016106462625e-21,5.26389384356274e-18,"BTLA","151888"
"ENSG00000244116.1",1074.50728925442,-8.60825516796257,0.917468801999499,-9.38261350053762,6.43573285793141e-21,1.2805499454069e-17,NA,NA
"ENSG00000211594.2",3009.72181415491,-7.89566163414905,0.843825280481142,-9.35698635343921,8.20433779352346e-21,1.53643116467419e-17,NA,NA
"ENSG00000169442.4",909.582054550351,-4.26181433369551,0.455892074330673,-9.34829661154469,8.90705851056453e-21,1.57536174856851e-17,"CD52","1043"
"ENSG00000072818.7",2697.65379174651,-3.830737181571,0.410826608986105,-9.32446218862266,1.11547861157531e-20,1.86907247779534e-17,"ACAP1","9744"
"ENSG00000147168.8",1434.72745423656,-4.02214127040483,0.432549080736698,-9.29869337267924,1.42182158341783e-20,2.13369968449924e-17,"IL2RG","3561"
"ENSG00000269404.2",401.280271854872,-6.05167899850412,0.651098254042101,-9.29457107423422,1.47800920788953e-20,2.13369968449924e-17,"SPIB","6689"
"ENSG00000162894.7",1341.31404262867,-4.26384866292098,0.458825405040949,-9.29296550730541,1.50048260090673e-20,2.13369968449924e-17,"FCMR","9214"
"ENSG00000227039.2",1000.08116694068,-4.96732219891672,0.534690100758233,-9.29009568696458,1.54149681943343e-20,2.13369968449924e-17,"ITGB2-AS1","100505746"
"ENSG00000233355.2",324.743184830499,-5.54540616110485,0.598068948397767,-9.27218538257344,1.82370346442276e-20,2.41914264555679e-17,"CHRM3-AS2","100506915"
"ENSG00000242371.1",2169.57898443607,-8.38230881039896,0.905122732929268,-9.2609637405428,2.02595212843134e-20,2.5799284784296e-17,NA,NA
"ENSG00000026751.12",799.027191679296,-5.34069173583901,0.57878144176916,-9.22747578000104,2.77084470493725e-20,3.39279277024548e-17,"SLAMF7","57823"
"ENSG00000104894.7",2735.16754496055,-4.41038646361368,0.480090609034654,-9.18657099434188,4.05563471837033e-20,4.78204395903844e-17,"CD37","951"
"ENSG00000121895.7",218.048063020745,-5.38403211434163,0.587100780742759,-9.17054156788913,4.70648526831776e-20,5.35127375007729e-17,"TMEM156","80008"
