"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000242371.1",2169.57898443607,-8.02743101399975,0.90512705622731,-8.86884438905091,7.39088729865149e-19,2.03988489442781e-14,NA,NA
"ENSG00000222037.5",797.392561914043,-8.34656800842036,0.960360834622914,-8.69107496631476,3.59026026121625e-18,4.95455916047842e-14,NA,NA
"ENSG00000132465.6",6764.17163437507,-5.19655742822533,0.63057255796,-8.24101423797604,1.70756905239361e-16,1.57096352820212e-12,"JCHAIN","3512"
"ENSG00000211946.2",119.320046741888,-10.1839253956654,1.25658884600689,-8.10442128945135,5.29971663445834e-16,2.99401329155168e-12,NA,NA
"ENSG00000211895.3",60711.8129498265,-5.6699123767565,0.699850618276109,-8.10160372612484,5.42393712237624e-16,2.99401329155168e-12,NA,NA
"ENSG00000211959.2",1642.97582404103,-6.98969541741927,0.874866259405806,-7.98944449196903,1.35548140433741e-15,6.23521445995208e-12,NA,NA
"ENSG00000211941.2",588.771821957335,-6.58570820422501,0.834382623185316,-7.89291150273911,2.9521696295433e-15,1.16399831107707e-11,NA,NA
"ENSG00000211594.2",3009.72181415491,-6.61800062746692,0.843850294136715,-7.84262406904455,4.4122742155596e-15,1.52223460436806e-11,NA,NA
"ENSG00000211640.3",839.335874314905,-7.64276253410202,0.987033785984286,-7.74316203014321,9.69743307269799e-15,2.97387947562738e-11,NA,NA
"ENSG00000211644.2",1880.07609315744,-5.81150885593375,0.753338141324557,-7.7143430514691,1.2160697802223e-14,3.35635259341355e-11,NA,NA
"ENSG00000116748.15",61.2229572470335,-5.09389321973015,0.662714017055685,-7.68641237190269,1.51318242108587e-14,3.79671225654272e-11,"AMPD1","270"
"ENSG00000211673.2",1876.54332669141,-7.7704952000737,1.01302731815833,-7.67056826680682,1.71236000966923e-14,3.93842802223923e-11,NA,NA
"ENSG00000243466.1",3963.26057051101,-6.27699982365123,0.830080493649503,-7.56191703295423,3.97171702841931e-14,8.4322607680287e-11,NA,NA
"ENSG00000211660.3",1690.38562095747,-6.54703171291087,0.868522090165361,-7.53812918179704,4.76761460778026e-14,9.39901165533823e-11,NA,NA
"ENSG00000242076.1",581.186243677375,-6.73974619177412,0.899748622600244,-7.49069909359402,6.85077186051507e-14,1.26054202233477e-10,NA,NA
"ENSG00000244116.1",1074.50728925442,-6.83170225626865,0.917572733347572,-7.44540678682181,9.6646150925534e-14,1.66714610346546e-10,NA,NA
"ENSG00000211668.2",1675.53880917455,-6.55341764546083,0.883863148120616,-7.41451621712655,1.22069572437821e-13,1.98183541134345e-10,NA,NA
"ENSG00000240382.1",536.411903817487,-6.70219478524252,0.916109014761772,-7.31593585178875,2.55593748630447e-13,3.91910414566685e-10,NA,NA
"ENSG00000211666.2",2555.43087800184,-6.12817261037205,0.83901344746729,-7.3040219186844,2.79290850881722e-13,4.05706709701869e-10,NA,NA
"ENSG00000211934.2",1257.52803691114,-6.36947979256196,0.883325036981565,-7.2107995651604,5.56242808707443e-13,7.67615076016271e-10,NA,NA
"ENSG00000211949.2",2178.1275384337,-6.03703271001801,0.838184755756724,-7.20250835935056,5.91148168818779e-13,7.7693759330468e-10,NA,NA
"ENSG00000211662.2",1660.93124373542,-6.84916052043737,0.952660597510926,-7.189507510159,6.50254435514574e-13,8.1577374637283e-10,NA,NA
"ENSG00000240864.1",571.102001841561,-7.03447614459289,0.97942114986746,-7.18227919168872,6.85587344858093e-13,8.22704813829712e-10,NA,NA
"ENSG00000170476.11",1580.39352499008,-5.40036521750683,0.757931007660258,-7.12514089399485,1.03974273907904e-12,1.1957041499409e-09,"MZB1","51237"
"ENSG00000088340.11",1412.67837282655,-3.51969134151373,0.50224377408898,-7.00793424049527,2.41862426401141e-12,2.61443895964529e-09,"FER1L4","80307"
"ENSG00000211900.2",501.848012187078,-6.11384815471361,0.872734090747273,-7.0053962822498,2.46287728082528e-12,2.61443895964529e-09,NA,NA
"ENSG00000251546.1",145.025856003271,-6.743960181586,0.963548251456592,-6.99908922193692,2.57631764610312e-12,2.63356914934985e-09,NA,NA
"ENSG00000211896.2",174711.483404258,-6.65821082029514,0.952944367330597,-6.98698795916726,2.80850334426179e-12,2.76838186791519e-09,NA,NA
"ENSG00000242472.1",211.970007743233,-6.22975136088585,0.892782047672981,-6.97790841238753,2.99606858477185e-12,2.85143079102425e-09,NA,NA
"ENSG00000211593.2",2832.29484856797,-7.5643833167876,1.09716847709457,-6.89445921452187,5.4070095442753e-12,4.97444878073328e-09,NA,NA
"ENSG00000211947.2",769.602716913216,-6.26380790004206,0.909476904411763,-6.88726439303415,5.68754590703503e-12,5.06375054948926e-09,NA,NA
"ENSG00000241351.1",3690.88788479695,-6.58005180052054,0.956284271878905,-6.8808533132016,5.94950903992856e-12,5.13145154693838e-09,NA,NA
"ENSG00000211653.2",2501.46160762858,-6.22154611127649,0.90544060356924,-6.87129126609873,6.36233365439734e-12,5.3212245109505e-09,NA,NA
"ENSG00000211904.2",97.018359347804,-7.31661397157503,1.07043545914413,-6.83517526355589,8.1904831720045e-12,6.64874516315659e-09,NA,NA
"ENSG00000211663.2",1492.92707236444,-6.16826525316524,0.912238953749349,-6.76167711081986,1.36403433748778e-11,1.07563850613322e-08,NA,NA
"ENSG00000211937.2",1269.74835744046,-7.55274731660773,1.12362060005327,-6.72179498689295,1.79499395280239e-11,1.37616203048183e-08,NA,NA
"ENSG00000253755.1",4899.13398155762,-6.5540636579985,0.976275081298212,-6.713337033332,1.90223047583198e-11,1.41896111170169e-08,NA,NA
"ENSG00000026751.12",799.027191679296,-3.8697387090155,0.578948975572178,-6.6840755788384,2.32386856864327e-11,1.68786243406722e-08,"SLAMF7","57823"
"ENSG00000224373.2",1826.24566376728,-7.28171118666897,1.09268789015136,-6.66403577114807,2.66408577693503e-11,1.88535301136941e-08,NA,NA
"ENSG00000211965.2",275.436083599993,-6.58555473440343,0.988872813494405,-6.65965799093201,2.74465519697649e-11,1.89381208591378e-08,NA,NA
"ENSG00000243290.1",1059.96874225385,-6.37460498798898,0.95840462745208,-6.65126691315742,2.90580758560583e-11,1.95388460135909e-08,NA,NA
"ENSG00000211945.2",1129.8615887511,-6.07764806132157,0.914222517379063,-6.64788707977273,2.97330265424209e-11,1.95388460135909e-08,NA,NA
"ENSG00000211935.2",463.887417881839,-7.07666825825079,1.06569984450644,-6.64039531837243,3.12842953480232e-11,2.00801523629172e-08,NA,NA
"ENSG00000253234.1",20.8315170463885,-6.90161203764564,1.04402362137303,-6.61058992953541,3.8279149131637e-11,2.40114662734814e-08,NA,NA
"ENSG00000254030.1",24.3434386931451,-6.71493168146958,1.01676209156897,-6.60423095741868,3.99586165303932e-11,2.45079514719745e-08,NA,NA
"ENSG00000259261.2",184.611596585949,-7.45789946115255,1.13293155004222,-6.5828332354895,4.61566766557824e-11,2.76940059934694e-08,NA,NA
"ENSG00000244575.1",402.560657013179,-5.91522561426539,0.89922751694476,-6.57811899969779,4.76436868334142e-11,2.79779948213241e-08,NA,NA
"ENSG00000244437.1",1992.23692420711,-5.68436123742829,0.872588934770728,-6.51436319086702,7.29986786073282e-11,4.19742401992137e-08,NA,NA
"ENSG00000253274.1",69.1401341221187,-7.86273893198554,1.21978122409149,-6.44602390714925,1.14822557672585e-10,6.46755630972112e-08,NA,NA
"ENSG00000211905.1",34.8481954669525,-6.48615095278509,1.00758055091984,-6.43735227606744,1.21575548747671e-10,6.71097029087144e-08,NA,NA
"ENSG00000110777.7",2136.74171461572,-4.09781092088292,0.642144810620119,-6.38144364497108,1.75426279754164e-10,9.49365749257831e-08,"POU2AF1","5450"
"ENSG00000138755.5",1624.66131084013,-3.38858781475251,0.533197877199423,-6.35521625208033,2.08133607399612e-10,1.10470914696717e-07,"CXCL9","4283"
"ENSG00000211649.2",215.661440419874,-6.2742129336436,0.995660454448241,-6.30155883525628,2.94666885624189e-10,1.53449170626936e-07,NA,NA
"ENSG00000251039.2",119.881010457497,-6.26157908327754,0.996616978871537,-6.28283404359364,3.32455905742235e-10,1.69921907379364e-07,NA,NA
"ENSG00000239862.1",21.5960702165402,-6.42224128935256,1.02346688078694,-6.27498691937598,3.49663688630295e-10,1.75467596476294e-07,NA,NA
"ENSG00000239951.1",6919.11058351706,-5.33600907858726,0.851356002998045,-6.26765895794066,3.66516405923795e-10,1.8064022863387e-07,NA,NA
"ENSG00000211890.3",6167.86585359414,-5.31687463931119,0.849265911588584,-6.26055345771005,3.83613539087831e-10,1.85749713663581e-07,NA,NA
"ENSG00000240834.1",282.880387796665,-6.60151531808069,1.05602315931196,-6.25129786204864,4.07055696014874e-10,1.93702365689837e-07,NA,NA
"ENSG00000211953.2",1391.72844426243,-5.92677166551643,0.951060048497921,-6.23175337338269,4.61243227797668e-10,2.15768018427384e-07,NA,NA
"ENSG00000211952.2",48.1033196904332,-5.34277551841777,0.860402212783268,-6.20962549728309,5.3111020321435e-10,2.44310693478601e-07,NA,NA
"ENSG00000203814.5",147.42787855168,-4.10949582569545,0.663473912764428,-6.19390717047614,5.86908012694167e-10,2.62419427240906e-07,"H2BC18","440689"
"ENSG00000239855.1",506.326607416573,-5.85999562496183,0.946196083753258,-6.19321483736976,5.89492916265803e-10,2.62419427240906e-07,NA,NA
"ENSG00000211648.2",2013.0104715659,-6.50663215607638,1.05761009663764,-6.15220313872033,7.64139138095635e-10,3.34765717641897e-07,NA,NA
"ENSG00000241755.1",1025.3114493539,-5.51552864019704,0.897643614566471,-6.14445259866394,8.02397468733122e-10,3.46033908391159e-07,NA,NA
"ENSG00000243063.1",85.1193659781815,-7.6280859659447,1.24406656064057,-6.13157382995406,8.70139371698664e-10,3.69474563982817e-07,NA,NA
"ENSG00000240041.1",564.910230008903,-5.00782537179718,0.823229283330384,-6.08314776114129,1.17845647624936e-09,4.92809071886095e-07,NA,NA
"ENSG00000241294.1",126.277908804831,-5.0894386582043,0.839345573412925,-6.06357955461629,1.33124885978153e-09,5.48395052686124e-07,NA,NA
"ENSG00000211967.2",238.01603762522,-5.54086592109578,0.914912864700366,-6.05616789847021,1.39402501896556e-09,5.65810154756611e-07,NA,NA
"ENSG00000241244.1",78.7046637313728,-7.19257249165637,1.18881663104752,-6.05019504590768,1.44670571684436e-09,5.78682286737742e-07,NA,NA
"ENSG00000211674.2",88.2915384634641,-5.46993882389089,0.905141391531883,-6.04318714740626,1.51099214349063e-09,5.95762616576307e-07,NA,NA
"ENSG00000254395.1",73.083044739619,-6.05520947521829,1.00589007701563,-6.01975266838643,1.74683781336578e-09,6.79052445759093e-07,NA,NA
"ENSG00000211676.2",33.1523481664635,-6.88210153044377,1.14474312179211,-6.01191778262861,1.83341306994614e-09,7.02808343479352e-07,NA,NA
"ENSG00000211951.2",168.050360352008,-6.40189661045457,1.06687602721648,-6.00060030138402,1.96589369008109e-09,7.43269395153947e-07,NA,NA
"ENSG00000242887.1",207.601498579173,-5.33342856958679,0.889232251263432,-5.99779029832644,2.00020583754057e-09,7.460227177854e-07,NA,NA
"ENSG00000143297.14",1736.20883225499,-5.08858350133925,0.849775423533845,-5.98815094013669,2.12240054862763e-09,7.81043401894967e-07,"FCRL5","83416"
"ENSG00000211956.2",751.208837840026,-5.17978572768461,0.867621000026393,-5.97010183885249,2.37105540643163e-09,8.6106748970412e-07,NA,NA
"ENSG00000224607.3",49.5629532086621,-6.81574198333237,1.14468357175718,-5.95425858420387,2.61253456623009e-09,9.36440961401953e-07,NA,NA
"ENSG00000235896.2",59.0700276542538,-8.33345393631855,1.41877109393611,-5.87371280112495,4.26141389260883e-09,1.5078849158462e-06,NA,NA
"ENSG00000224650.2",397.11244398426,-4.64187961220882,0.79305791612997,-5.85314075781583,4.82375535267652e-09,1.6852613637199e-06,NA,NA
"ENSG00000239975.1",44.3338467059668,-6.7238421999794,1.14941763656887,-5.84978165121143,4.92218736158483e-09,1.69815463974676e-06,NA,NA
"ENSG00000211973.2",2544.68795565655,-5.5697796353246,0.955994526274223,-5.82616268424839,5.6716330554401e-09,1.93255644852033e-06,NA,NA
"ENSG00000253497.1",104.246737619515,-6.98603932367784,1.20343901912782,-5.80506300081651,6.43418062889874e-09,2.16565104094641e-06,NA,NA
"ENSG00000211964.2",383.685819584401,-5.1099695961856,0.881269855567437,-5.79841641456732,6.69440550373887e-09,2.22609146871317e-06,NA,NA
"ENSG00000090104.7",4545.58812271253,-2.79350331554966,0.482943373180876,-5.78432891034498,7.28023750670843e-09,2.39207803791848e-06,"RGS1","5996"
"ENSG00000240671.1",112.367116788198,-5.31299334790052,0.921023791610085,-5.76857340309594,7.99453906715476e-09,2.57918964902708e-06,NA,NA
"ENSG00000186891.9",177.113870483038,-3.35742436737817,0.582109145139098,-5.76768874946278,8.03660542812784e-09,2.57918964902708e-06,"TNFRSF18","8784"
"ENSG00000137265.10",999.200550010676,-3.39310587445516,0.58901277723698,-5.76066599161396,8.37826892428397e-09,2.65793358977285e-06,"IRF4","3662"
"ENSG00000258876.1",6.92883015416757,-2.98653769843876,0.521340096536229,-5.7285785579917,1.01275651113989e-08,3.17637269402964e-06,NA,NA
"ENSG00000223350.2",136.838081606269,-7.34728110350813,1.28758172436381,-5.70626389337609,1.15482909655703e-08,3.58126776010944e-06,NA,NA
"ENSG00000211940.2",627.323510812884,-5.78933583445361,1.01766695665503,-5.68883149501343,1.27911608476846e-08,3.91443129068259e-06,NA,NA
"ENSG00000211972.2",52.7128458108566,-5.6270201965913,0.989694952276649,-5.68561068604741,1.30346028488208e-08,3.91443129068259e-06,NA,NA
"ENSG00000253742.1",16.4249421228167,-6.01055796658834,1.05730483025355,-5.68479193001223,1.30972018474667e-08,3.91443129068259e-06,NA,NA
"ENSG00000122224.13",542.126232015292,-3.52457807987776,0.62013279159465,-5.68358604423164,1.31899315229522e-08,3.91443129068259e-06,"LY9","4063"
