"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04640","Hematopoietic cell lineage","46/1084","98/7993",9.0486138573853e-16,2.86841059279114e-13,2.2764407493843e-13,"1380/2208/951/916/917/3112/911/915/930/914/933/1378/1440/3676/931/3575/3109/913/926/921/1438/2815/7124/3678/920/3684/909/2811/3690/925/3569/966/928/3553/3672/3111/3675/2322/3559/3554/3570/910/3115/924/2814/3119",46
"hsa05340","Primary immunodeficiency","23/1084","37/7993",8.16384854351483e-12,1.2939699941471e-09,1.02692621152634e-09,"3932/916/695/57379/3561/7535/915/930/959/3718/5788/3575/4261/926/29851/920/64421/29760/925/115650/5993/973/326",23
"hsa04514","Cell adhesion molecules (CAMs)","50/1084","147/7993",1.54015401063608e-10,1.62742940457212e-08,1.29156774927025e-08,"6402/3385/3683/6693/3695/3112/5133/914/933/5817/923/959/24146/5788/3676/6385/3109/6404/201633/22854/926/5819/1493/3689/3688/29851/9672/3685/920/7122/3684/942/3696/84628/925/80381/3134/941/3111/3135/940/90952/10666/1366/3115/5797/9075/23705/3119/6403",50
"hsa04659","Th17 cell differentiation","37/1084","107/7993",2.31925425781152e-08,1.83800899931563e-06,1.45868886214988e-06,"3932/3594/916/917/50615/9466/3560/919/3561/3112/7535/915/3718/27040/3091/149233/3109/6774/3556/30009/50943/920/3662/4794/3569/3553/3558/51561/2625/3551/3111/3559/3554/3570/3115/3119/5914",37
"hsa04670","Leukocyte transendothelial migration","37/1084","113/7993",1.17855455016161e-07,7.47203584802458e-06,5.92999026291839e-06,"5579/653361/2185/3683/7294/5880/5293/5336/7409/399/81/1495/1500/6494/1536/24146/3676/9564/5829/3702/3689/3688/4689/7122/3684/7414/4478/7852/5879/5781/4633/90952/87/103910/1366/9075/387",37
"hsa04810","Regulation of actin cytoskeleton","57/1084","212/7993",1.44536219331934e-07,7.63633025470384e-06,6.06037831935653e-06,"3681/3683/5880/3695/5293/7409/7074/623/81/9138/5305/3676/3682/9564/3071/9459/81624/3687/89846/5829/3689/3688/26999/3678/3685/3684/128239/1131/7414/79784/4478/3690/3696/2934/7852/9170/22801/8394/5879/3694/3672/55740/7114/57121/3675/10458/5155/4633/4660/55970/87/103910/1793/5894/10787/2335/387",57
"hsa04672","Intestinal immune network for IgA production","21/1084","47/7993",1.86779271726244e-07,8.45843273388848e-06,6.71281893873269e-06,"57379/3695/3112/608/959/3676/3109/10673/29851/10803/942/7852/3569/4055/941/3558/115650/3111/940/3115/3119",21
"hsa04064","NF-kappa B signaling pathway","34/1084","102/7993",2.36613640976952e-07,9.37581552371171e-06,7.44087634124888e-06,"4050/5579/3932/4049/84433/10913/695/5336/7185/7535/472/959/330/7188/27040/6850/8600/4616/10673/23643/7124/597/29760/142/7132/4055/3553/115650/3551/7706/7128/3554/23085/51135",34
"hsa04110","Cell cycle","38/1084","124/7993",5.44407068469405e-07,1.91752267449779e-05,1.52179285806067e-05,"9133/699/995/4085/1870/701/23594/890/1869/7272/472/5347/8318/9700/4998/25/7042/9088/5933/7533/29945/983/891/1111/4174/4616/990/7532/9134/3066/6502/4171/10971/1032/9184/7531/4173/4176",38
"hsa04662","B cell receptor signaling pathway","27/1084","80/7993",3.1236740159775e-06,9.03854610261018e-05,7.17321108591676e-05,"974/1380/5777/5579/84433/695/5880/971/5293/5336/7409/930/933/118788/27071/3635/6850/23547/4794/10859/29760/5879/11027/2213/3551/973/5894",27
"hsa04062","Chemokine signaling pathway","49/1084","189/7993",3.40191843713913e-06,9.03854610261018e-05,7.17321108591676e-05,"1235/10235/5579/653361/2185/10563/7454/5880/6846/5293/7409/5330/1794/7074/23533/2788/1236/3718/2833/9564/6367/6774/2870/5294/643/6464/5829/3702/409/6369/2268/10803/2793/6011/156/7852/5566/6375/5879/113/54331/2783/3551/1234/55970/5894/10344/729230/387",49
"hsa05416","Viral myocarditis","22/1084","59/7993",3.98880061184733e-06,9.03854610261018e-05,7.17321108591676e-05,"3683/5880/3112/959/25/3109/841/3689/1981/1605/836/942/3134/5879/941/3111/3135/4625/940/3115/3119/6442",22
"hsa04060","Cytokine-cytokine receptor interaction","68/1084","294/7993",4.00163140506431e-06,9.03854610261018e-05,7.17321108591676e-05,"4050/1235/4049/3594/10913/10563/50615/11009/9466/3560/353500/6846/3561/356/939/608/1236/151449/959/1440/944/2833/57007/7042/149233/3603/8600/3597/3575/6367/7292/943/643/3587/3556/3624/1438/8718/8797/10673/6369/7124/10803/920/91/7132/7852/3569/6375/3606/51330/3604/4055/3553/9173/3558/51561/115650/55801/1234/3592/3559/3554/3570/970/10344/130399/729230",68
"hsa05130","Pathogenic Escherichia coli infection","51/1084","201/7993",4.24086576247718e-06,9.03854610261018e-05,7.17321108591676e-05,"5777/147945/356/4542/9138/27128/24146/25/84617/834/7456/3071/3059/841/8797/3688/26999/29108/7124/7122/79861/375/10376/79784/10382/9368/836/9871/7132/9170/3569/3606/5879/3553/57121/3551/5781/10458/4646/2017/5861/4641/3554/1366/84790/7280/9075/10061/10787/387/51135",51
"hsa05414","Dilated cardiomyopathy (DCM)","30/1084","95/7993",4.27691455959472e-06,9.03854610261018e-05,7.17321108591676e-05,"3695/489/3676/7042/3688/7124/3678/3685/1605/3690/3696/22801/5566/4000/153/3694/113/778/3672/7273/3675/4607/7137/4625/4633/7139/488/183/3479/6442",30
"hsa05321","Inflammatory bowel disease (IBD)","23/1084","65/7993",6.78486865575105e-06,0.000134425210242068,0.000106683132152928,"3594/50615/3561/3112/7042/149233/3109/6774/6775/30009/50943/7124/3569/3606/3553/3558/51561/2625/3111/3592/64127/3115/3119",23
"hsa04512","ECM-receptor interaction","28/1084","88/7993",7.55315689832726e-06,0.000140844160986455,0.000111777368340571,"3695/3161/5649/1282/63923/3676/6385/7143/1284/2815/3688/7058/3678/3685/2811/1605/3690/3696/22801/3694/1293/7148/3672/3675/3913/2814/375790/2335",28
"hsa05410","Hypertrophic cardiomyopathy (HCM)","28/1084","90/7993",1.21898424282064e-05,0.000214676669430079,0.000170372651481949,"3695/489/3676/7042/3688/7124/3678/3685/1605/3690/3696/22801/4000/3569/3694/778/3672/7273/3675/4607/7137/4625/4633/7139/488/183/3479/6442",28
"hsa05135","Yersinia infection","34/1084","120/7993",1.44206908416194e-05,0.000240597841936493,0.000190944327487371,"3932/147945/2185/7454/5880/5293/7409/7535/9138/3937/27040/3676/2533/834/9564/7456/9815/5829/3688/29108/7124/3678/3569/8394/3606/5879/3553/3558/3551/10458/1793/2335/387/51135",34
"hsa04660","T cell receptor signaling pathway","30/1084","103/7993",2.54654268269333e-05,0.000403627015206893,0.000320328263770372,"5777/3932/84433/916/917/9402/919/5293/7409/7535/915/5133/959/3937/27040/5788/926/1493/3702/10125/29851/7124/920/4794/925/3558/3551/940/5894/387",30
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","29/1084","100/7993",3.78124955931785e-05,0.00057078862395417,0.00045299180184309,"1235/4049/10563/11009/3560/6846/3561/1236/2833/57007/6367/643/3587/8797/6369/7124/10803/7132/7852/3569/6375/3606/4055/3558/1234/3559/3570/10344/729230",29
"hsa05332","Graft-versus-host disease","16/1084","41/7993",4.31063663570726e-05,0.000607873589565781,0.000482423336895971,"3112/356/3109/7124/3824/942/3569/3134/3553/941/3558/3111/3135/940/3115/3119",16
"hsa05330","Allograft rejection","15/1084","37/7993",4.41043929337948e-05,0.000607873589565781,0.000482423336895971,"3112/356/959/3109/7124/942/3134/941/3558/3111/3592/3135/940/3115/3119",15
"hsa05146","Amoebiasis","29/1084","101/7993",4.6306933747412e-05,0.0006116374165804,0.00048541040200138,"5579/5293/5330/911/81/1282/7042/1284/913/5878/3689/2767/7124/3684/909/7414/836/5566/3569/3553/7879/3592/87/3554/9630/910/3913/1281/2335",29
"hsa04510","Focal adhesion","47/1084","200/7993",8.19077963936097e-05,0.00102329029077692,0.000812108183615089,"5579/64098/5880/3695/5293/5649/7409/81/1282/63923/5923/330/3676/9564/7143/1284/6464/5829/3688/7058/3678/3685/2064/7414/3690/3696/22801/8394/5879/3694/1293/7148/3672/55742/3675/5155/4633/4660/2324/87/103910/3913/1793/5894/3479/2335/387",47
"hsa04940","Type I diabetes mellitus","16/1084","43/7993",8.50149860510898e-05,0.00102329029077692,0.000812108183615089,"4049/3112/356/3109/7124/942/3134/3553/941/3558/3111/3592/3135/940/3115/3119",16
"hsa04650","Natural killer cell mediated cytotoxicity","34/1084","130/7993",8.71572171955106e-05,0.00102329029077692,0.000812108183615089,"5777/5579/3932/962/2185/3683/5880/919/5293/5336/356/7409/7535/51744/259197/22914/3937/27040/6850/10870/6464/3689/8797/7124/3824/836/4068/117157/5879/5781/3135/4277/9437/5894",34
"hsa04151","PI3K-Akt signaling pathway","73/1084","353/7993",0.000103447721900365,0.00117117599437199,0.000929473892262676,"8115/3560/3561/3695/5293/356/5649/930/23533/9623/118788/2788/4602/1440/3718/1282/117145/9586/63923/3676/6850/7143/3575/1284/7533/5294/1942/3688/7058/7532/9134/3678/3685/5516/2064/2793/55012/3690/3696/5518/9170/22801/3569/5879/3694/1293/64764/10161/92579/54331/2783/7148/3672/3558/57121/3551/10971/7531/3675/2322/3559/5155/285/55970/2324/3570/2998/3667/3913/5894/3479/2335/1946",73
"hsa05166","Human T-cell leukemia virus 1 infection","50/1084","219/7993",0.000107302732693139,0.00117292987116293,0.000930865811748102,"9133/3932/4049/916/7015/4085/3683/1870/701/917/890/1869/3560/3561/5293/3112/472/915/9700/3718/9586/7042/3109/29945/1111/3689/7124/9134/920/7132/5566/3569/6929/3134/10524/113/64764/4055/3558/115650/3551/3111/9184/3559/3135/3554/8061/3115/6688/3119",50
"hsa04658","Th1 and Th2 cell differentiation","26/1084","92/7993",0.000150255565463937,0.00158770047506894,0.00126003789985547,"3932/3594/916/917/3560/919/3561/3112/7535/915/3718/27040/864/3109/6775/30009/920/4794/3558/2625/3551/3111/3592/3559/3115/3119",26
"hsa05169","Epstein-Barr virus infection","46/1084","200/7993",0.000166904058453169,0.00170672859773079,0.00135450152700534,"1380/2208/916/695/3683/1870/917/890/1869/919/5293/5336/3112/915/930/3718/7188/6850/864/3109/6774/841/4616/7124/9134/5702/4794/29760/836/3569/3134/3066/5879/6502/3551/3111/5709/5707/3135/1643/7128/3115/5700/3119/51135/953",46
"hsa04145","Phagosome","37/1084","151/7993",0.000187808625527861,0.00186047919663538,0.00147652175990654,"11151/653361/3112/10333/1536/84617/3109/5878/245972/3689/3688/7058/535/3678/4689/3685/3684/79861/10376/10382/3690/1783/3134/1520/5879/23673/2213/7879/3111/4353/3135/8417/3115/84790/7280/3119/1514",37
"hsa05320","Autoimmune thyroid disease","17/1084","52/7993",0.000320387122187968,0.00307765811313896,0.00244250469546808,"3112/356/959/3109/1493/942/3134/941/7253/3558/3111/3135/940/7038/7173/3115/3119",17
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","22/1084","77/7993",0.00040100804917029,0.00373881034079358,0.00296721126166251,"6932/3695/489/1495/3676/3728/3688/3678/3685/1605/5318/3690/3696/22801/4000/3694/778/3672/3675/488/83439/6442",22
"hsa05170","Human immunodeficiency virus 1 infection","46/1084","210/7993",0.000536481337687167,0.00485898811562377,0.00385621172051828,"5579/9133/916/995/2185/60489/917/200316/5880/919/140564/5293/5336/356/472/915/2788/7188/27350/841/5829/983/891/1111/2767/115004/7124/920/2793/836/7132/7852/3134/5879/3710/54331/2783/10053/3551/1234/3135/164668/55970/1642/5894/51135",46
"hsa05144","Malaria","16/1084","50/7993",0.000624493327050494,0.00549901068541685,0.0043641492738324,"3683/3820/1378/959/1440/22914/7042/3689/7058/7124/54106/3569/3606/3553/3592/6403",16
"hsa05152","Tuberculosis","40/1084","179/7993",0.000801597786093287,0.00686774319436681,0.00545040884427583,"11151/3112/10333/7096/1378/6850/7042/3109/4261/841/3587/3687/5878/245972/3689/7124/535/54106/3684/836/7132/3569/3606/1520/1594/64170/2213/3553/7879/51561/5993/3111/843/3592/64127/3115/5894/3119/387/51135",40
"hsa05323","Rheumatoid arthritis","24/1084","92/7993",0.000954188564591972,0.00795994144672777,0.00631720407029034,"4050/54/3683/3112/7042/8600/3109/1493/245972/3689/10673/7124/535/942/3569/3606/3553/941/51561/3111/940/3115/3119/1514",24
"hsa04115","p53 signaling pathway","20/1084","73/7993",0.00129072206450357,0.0104912537037854,0.00832611534187186,"9133/6241/51512/472/841/9540/983/891/3732/1111/8797/4616/9134/7161/836/5366/1643/9538/3479/575",20
"hsa04380","Osteoclast differentiation","30/1084","127/7993",0.00139057438580168,0.0110203020074783,0.0087459810054369,"3932/653361/55423/814/695/54/5293/5336/3937/6850/7042/8600/23547/7124/4689/10859/3690/29760/10326/7132/5879/11027/2213/3553/3551/27035/3554/8061/6688/8878",30
"hsa04210","Apoptosis","31/1084","136/7993",0.00214449248018124,0.0165739456002002,0.0131534882897156,"5293/356/7185/472/332/4001/1677/330/153090/1521/1512/841/8797/4616/7124/79861/597/10376/836/142/835/7132/4000/1520/3710/5366/3551/843/84790/5894/1514",31
"hsa05140","Leishmaniasis","20/1084","76/7993",0.00219591708267636,0.0165739456002002,0.0131534882897156,"5777/5579/653361/3112/1378/1536/3676/7042/3109/3689/3688/7124/4689/3684/3553/3111/3592/3115/3119/51135",20
"hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","22/1084","88/7993",0.00274345221333748,0.0202249849215809,0.0160510423252792,"5777/3932/916/917/919/5293/7535/915/5133/10538/27040/3091/6774/10125/920/54106/116071/4794/3551/5781/940/5894",22
"hsa05100","Bacterial invasion of epithelial cells","19/1084","73/7993",0.00320587555595122,0.0230968761644668,0.0183302454036445,"5293/23157/1495/1731/26084/9564/3059/6464/5829/4735/3688/3678/7414/5879/2017/1793/2335/387/55752",19
"hsa04530","Tight junction","36/1084","169/7993",0.00340788974756153,0.024006689999489,0.0190522958986481,"7454/911/7074/81/24146/23370/3059/913/3688/5516/7122/1741/2064/909/8531/79861/10376/79784/4478/9368/5518/2626/154810/5566/5879/9414/2017/4633/87/103910/910/1366/84790/9075/387/3996",36
