"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03050","Proteasome","37/2371","46/7993",1.30073584979956e-12,4.20137679485256e-10,3.28606951528309e-10,"5682/5702/3458/5707/5693/5700/5704/5694/5708/10213/5696/5701/10197/5684/5687/5690/143471/5685/5714/5692/5683/5698/5705/5713/5710/51371/5709/5717/5719/9491/5715/5689/5686/5688/5695/5699/9861",37
"hsa05340","Primary immunodeficiency","30/2371","37/7993",1.27744343015688e-10,2.06307113970337e-08,1.61361275388238e-08,"3561/3932/915/7535/930/5788/916/29851/695/973/3718/115650/959/4261/926/57379/3575/326/925/23495/6890/3543/7374/6891/920/29760/958/100/927/5993",30
"hsa05012","Parkinson disease","117/2371","249/7993",3.65207577007969e-09,3.9320682457858e-07,3.07543222743553e-07,"135/7345/5682/10383/3309/5702/5707/4702/84790/5693/5700/5704/7295/11315/5694/7280/5708/203068/10213/5701/7317/4718/7332/25828/5684/2081/515/125965/10376/836/7419/1339/5687/5690/120892/55967/6391/143471/5685/498/5714/6622/5692/5566/7318/65018/5683/2773/7314/5705/54539/291/4706/4712/2770/4704/4719/10476/4725/5713/506/4540/7416/4708/3708/84617/4715/4697/7386/5710/6390/1346/1349/5413/516/7384/1965/5709/22926/5717/4728/509/4729/1347/5719/4541/4780/1537/4714/518/4722/1340/522/801/5715/9927/7385/5689/5686/317/5688/51079/5695/29796/4716/598/9861/54205/7417/4713/4709/163688/1337/4700/4698/6571/27089",117
"hsa05330","Allograft rejection","28/2371","37/7993",9.21678559447226e-09,5.95460114931101e-07,4.6573383602237e-07,"3112/940/356/959/7124/3134/3115/3458/3558/3111/3113/3108/3117/3122/942/3119/3106/355/941/3592/5551/3105/3109/958/3123/3593/3107/3586",28
"hsa05010","Alzheimer disease","159/2371","367/7993",9.21764883794275e-09,5.95460114931101e-07,4.6573383602237e-07,"5330/80326/5293/489/7124/841/7471/51384/778/5682/10383/5702/8851/5707/4702/84790/3028/3551/5693/5700/23385/5704/5694/7480/7280/5708/203068/10213/5332/5701/488/4718/3667/5684/823/1131/2081/1536/515/125965/355/10376/836/7419/1339/5687/5690/7472/55967/6391/143471/5685/498/5714/6622/5692/8503/5683/7479/5705/54539/291/7476/4706/55626/4712/351/4704/4041/2906/4719/4311/10476/4725/5713/506/4540/7416/2597/4708/3708/84617/4715/4697/7386/5710/6390/348/1346/1349/27123/516/23621/7384/1965/637/5709/22926/3416/5717/1452/1457/4728/7132/509/2902/30849/4729/776/1347/4842/5719/4541/4040/7484/4023/1537/7186/1499/5594/4714/57142/5663/518/10023/4722/1340/522/801/5715/7385/5689/5686/7482/317/5688/51079/5695/29796/4716/9861/8313/54205/7417/4713/4709/163688/1337/5289/4700/5894/25825/4698/2932/10313/5296/54361/27089/100506742",159
"hsa05416","Viral myocarditis","38/2371","59/7993",3.20415467163492e-08,1.70969217477881e-06,1.33722053754901e-06,"3683/3112/5880/940/959/841/3134/3115/1605/3111/3113/3108/25/3117/5879/3122/3689/942/8672/3119/1981/3106/836/941/4625/5551/3105/284217/3109/958/6444/1525/3123/637/3107/54205/2534/857",38
"hsa04640","Hematopoietic cell lineage","55/2371","98/7993",3.70521523945872e-08,1.70969217477881e-06,1.33722053754901e-06,"951/3112/1380/931/915/2208/930/916/3676/914/921/917/924/911/926/933/7124/966/3575/3115/925/2811/913/909/1378/952/3111/3113/3566/1438/1379/3108/3581/2322/3568/3117/3122/3119/3684/2323/910/3109/920/2815/4311/960/3123/3815/3690/927/3570/1441/3574/928/2209",55
"hsa04672","Intestinal immune network for IgA production","32/2371","47/7993",5.53940937880184e-08,2.23653653669124e-06,1.74928717225321e-06,"3112/608/3676/29851/940/7852/115650/3695/959/57379/3115/23495/10673/3558/3111/3113/3108/3117/3122/942/3119/6370/941/5284/10803/3109/958/3123/9020/8174/4055/3586",32
"hsa04514","Cell adhesion molecules (CAMs)","74/2371","147/7993",9.07530377834761e-08,3.25702568934031e-06,2.54745369216775e-06,"3683/3112/6402/201633/1493/5788/923/3676/29851/914/940/5133/3385/3695/6693/959/926/933/3134/3115/925/90952/24146/6404/29126/10666/3111/3113/23705/3108/3117/3122/3689/942/3119/3106/3684/84628/25945/941/22854/2734/83692/6383/5817/999/3105/5819/3109/3688/920/5797/100506658/958/80381/9672/1366/7412/3123/5818/8174/9379/927/9080/9073/3680/1003/1462/3696/3107/23114/4756/1002/4684",74
"hsa05016","Huntington disease","133/2371","306/7993",1.24835580774353e-07,4.03218925901161e-06,3.15374098798366e-06,"5330/1769/841/5682/10383/5702/1213/5707/4702/84790/5693/1173/5700/3066/5704/5694/7280/5708/203068/10213/5332/5701/55860/55567/4718/5684/2081/515/125965/10376/10121/836/7419/1339/5687/5690/6647/25981/55967/6391/10488/143471/6875/5685/498/5714/493869/1639/5692/163/10540/5683/5468/5705/54539/55081/291/4706/55626/4712/25942/4704/4719/10476/4725/5713/506/4540/7416/4708/3708/84617/774/4715/4697/7386/5710/6390/1346/1349/201625/516/7384/3092/5709/5717/5432/4728/627/8701/509/2902/30849/4729/51164/1347/5719/4541/1537/7186/4714/10671/6506/518/4722/11258/1340/522/1212/5715/7385/5689/5686/317/5688/51079/5695/29796/4716/9861/54205/7417/4713/4709/1337/5289/64764/5441/4700/4698/1211/10891/27089",133
