"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05340","Primary immunodeficiency","13/396","37/7993",1.07126760242932e-08,3.18166477921508e-06,3.12359079866233e-06,"973/7374/3561/29851/115650/5788/915/7535/6890/930/23495/3932/3718",13
"hsa04672","Intestinal immune network for IgA production","10/396","47/7993",7.91399347750408e-05,0.00845137309838382,0.00829711269981328,"608/940/3112/29851/115650/7852/3676/23495/9020/8174",10
"hsa04640","Hematopoietic cell lineage","15/396","98/7993",8.536740503418e-05,0.00845137309838382,0.00829711269981328,"931/3112/1440/924/3568/3676/4311/921/915/930/960/951/952/1441/3566",15
"hsa04660","T cell receptor signaling pathway","15/396","103/7993",0.000152067472958652,0.0112910098671799,0.0110849184235649,"1493/10125/3458/940/29851/3702/5788/915/7535/84433/9402/919/3932/9020/3937",15
"hsa04146","Peroxisome","13/396","83/7993",0.000198527999631195,0.011792563178093,0.0115773170311244,"54677/5193/6648/1891/3417/847/5052/10478/23600/8800/6647/8504/3295",13
"hsa04658","Th1 and Th2 cell differentiation","13/396","92/7993",0.000559175141320256,0.0276791694953527,0.0271739498501247,"3458/3561/3112/915/6775/7535/3560/6772/919/3932/30009/3718/3566",13
"hsa05321","Inflammatory bowel disease (IBD)","10/396","65/7993",0.00123369395063049,0.0511077876257382,0.0501749323846517,"3458/3561/3112/8807/6775/6772/7043/64127/30009/3566",10
"hsa04060","Cytokine-cytokine receptor interaction","27/396","294/7993",0.00137664074412763,0.0511077876257382,0.0501749323846517,"4283/8784/608/3458/6373/3561/1440/115650/3627/7852/8807/3568/11009/1233/3560/939/7043/3604/8995/1439/23495/3953/29949/1441/84957/3566/355",27
"hsa04650","Natural killer cell mediated cytotoxicity","15/396","130/7993",0.00185881507581361,0.0613408975018492,0.0602212603509205,"4068/3458/3683/5582/22914/3824/7535/79465/919/51744/3932/962/4277/3937/355",15
"hsa04659","Th17 cell differentiation","13/396","107/7993",0.00231681903892719,0.0688095254561375,0.0675535656613506,"3662/3458/3561/3112/915/7535/3560/6772/919/3932/30009/3718/3566",13
